SURVEYID,YEAR,SENIOR,JUNIOR,SOPHOMORE,FRESHMAN,SCHOOL  ,COM,CAS,SAR,SHA,SED,QST,PARDEE,ENG,INTERNATIONAL_STUDENT,TRANSFER_STUDENT,GPA,TREATED,RESULT,SYLLABUS_NUM,SEEN_BEFORE,SURVEY_1,SURVEY_2,SURVEY_3,SURVEY_4,SURVEY_5,SURVEY_6
1,Senior,1,0,0,0,College of Communication,1,0,0,0,0,0,0,0,0,0,3.86,1,1,1,0,1,0,0,0,0,0
2,Senior,1,0,0,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,3.84,1,0,1,0,1,0,0,0,0,0
3,Senior,1,0,0,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,3.58,0,0,1,0,1,0,0,0,0,0
4,Senior,1,0,0,0,Sargent,0,0,1,0,0,0,0,0,0,0,3.7,1,0,1,0,1,0,0,0,0,0
5,Senior,1,0,0,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,3.91,0,0,1,0,1,0,0,0,0,0
6,Senior,1,0,0,0,School of Hospitality Administration,0,0,0,1,0,0,0,0,0,0,3.8,0,0,1,0,1,0,0,0,0,0
7,Senior,1,0,0,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,3.63,1,1,1,0,1,0,0,0,0,0
8,Senior,1,0,0,0,Other,0,0,0,0,1,0,0,0,0,0,3.93,1,0,1,0,1,0,0,0,0,0
9,Senior,1,0,0,0,Questrom,0,0,0,0,0,1,0,0,0,1,3.3,0,0,1,0,1,0,0,0,0,0
10,Junior,0,1,0,0,Questrom,0,0,0,0,0,1,0,0,0,1,3.4,1,0,1,0,1,0,0,0,0,0
11,Senior,1,0,0,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,3.1,1,1,1,1,1,0,0,0,0,0
12,Senior,1,0,0,0,Pardee,0,0,0,0,0,0,1,0,0,1,3.89,0,0,1,0,1,0,0,0,0,0
13,Sophomore,0,0,1,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,3.65,0,1,1,0,1,0,0,0,0,0
14,Junior,0,1,0,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,3.76,1,0,1,0,1,0,0,0,0,0
15,Senior,1,0,0,0,Questrom,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0
16,Junior,0,1,0,0,Questrom,0,0,0,0,0,1,0,0,0,0,3.81,1,1,1,0,1,0,0,0,0,0
17,Senior,1,0,0,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,3.96,0,1,1,0,1,0,0,0,0,0
18,Senior,1,0,0,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,2.83,0,0,1,1,1,0,0,0,0,0
19,Senior,1,0,0,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,3.2,1,1,1,0,1,0,0,0,0,0
20,Sophomore,0,0,1,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,1,0,3.725,0,0,1,0,1,0,0,0,0,0
21,Junior,0,1,0,0,Questrom,0,0,0,0,0,1,0,0,0,0,3.9,0,1,1,1,1,0,0,0,0,0
22,Junior,0,1,0,0,Questrom,0,0,0,0,0,1,0,0,0,0,3.31,1,1,1,0,1,0,0,0,0,0
23,Freshman,0,0,0,1,Questrom,0,0,0,0,0,1,0,0,0,0,,1,0,1,0,1,0,0,0,0,0
24,Senior,1,0,0,0,College of Engineering,0,0,0,0,0,0,0,1,0,0,3.63,0,0,1,0,1,0,0,0,0,0
25,Senior,1,0,0,0,Sargent,0,0,1,0,0,0,0,0,0,0,3.7,0,0,1,0,1,0,0,0,0,0
26,Freshman,0,0,0,1,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,,1,0,1,0,1,0,0,0,0,0
27,Senior,1,0,0,0,Questrom,0,0,0,0,0,1,0,0,0,0,2.88,0,0,1,0,1,0,0,0,0,0
28,Freshman,0,0,0,1,Questrom,0,0,0,0,0,1,0,0,1,0,3.4,0,1,1,0,1,0,0,0,0,0
29,Junior,0,1,0,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,3.7,0,0,1,0,1,0,0,0,0,0
